League,ID,Season
World Cup,1,2010
World Cup,1,2014
World Cup,1,2018
World Cup,1,2022
Euro Championship,4,2008
Euro Championship,4,2012
Euro Championship,4,2016
Euro Championship,4,2020
Nations League,5,2018
Nations League,5,2020
Nations League,5,2022
World Cup Qualification,32,2018
World Cup Qualification,32,2020
Friendlies,10,2017
Friendlies,10,2018
Friendlies,10,2019
Friendlies,10,2020
Friendlies,10,2021
Friendlies,10,2022
Euro Qaulification,960,2023
Friendlies,10,2023
Friendlies,10,2024
