"","id","name","birthdate","height","weight","season","rating","minutes","total_shots","target_shots","player_goals","total_passes","key_passes","accuracy_passes","tackles","total_duels","won_duels","total_dribbles","won_dribbles","fouls_drawn","fouls_comitted","yellow","red","yellowred"
"1",27736,"Ricardo Gabriel Canales Lanza","1982-05-30","181 cm","78 kg","2010",NA,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",35806,"Francisco Javier Rodríguez Pinedo","1981-10-20","191 cm","80 kg","2010",NA,3136,0,0,2,0,0,0,0,0,0,0,0,0,0,9,1,1
"3",100768,"Dominic Adiyiah","1989-11-29","172 cm","70 kg","2010",NA,1079,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0
"4",104275,"Nam-Chol Pak","1988-10-03","183 cm","78 kg","2010",NA,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",104297,"Jun-Il Ri","1987-08-24","178 cm","66 kg","2010",NA,2483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",104375,"Chol-Hyok An","1987-06-27","178 cm","72 kg","2010",NA,504,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"7",104378,"Myong-Gil Kim","1984-10-16","180 cm","70 kg","2010",NA,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",104380,"Chol-Jin Pak","1985-09-05","178 cm","70 kg","2010",NA,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"9",104381,"Yong-Jun Kim","1983-07-19","178 cm","67 kg","2010",NA,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",104383,"Kum-Chol Choe","1987-02-09","182 cm","75 kg","2010",NA,1027,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
"11",116180,"Matthew Amoah","1980-10-24","175 cm","66 kg","2010",NA,3571,0,0,17,0,0,0,0,0,0,0,0,0,0,5,0,0
"12",117950,"Robbie Findley","1985-08-04","175 cm","74 kg","2010",NA,2017,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0
"13",117974,"Martin Palermo","1973-7-11","188 cm","82 kg","2010-2011",NA,3512,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,0
"14",117987,"S. Ahorlu","1988-09-05","186 cm","78 kg","2010",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",118005,"Christos Patsatzoglou","1979-03-19","182 cm","73 kg","2010",NA,1601,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"16",118030,"Jeremy John Christie","1983-05-22","180 cm","75 kg","2010",NA,561,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"17",118031,"Andy Barron","1980-12-24","177 cm","70 kg","2010",NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",118038,"Kum-Il Kim","1987-10-10","171 cm","65 kg","2010",NA,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",118040,"Kyong-Il Kim","1988-12-11","173 cm","64 kg","2010",NA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",118041,"Myong-Won Kim","1983-07-15","179 cm","72 kg","2010",NA,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",3431,"A. Gyan","1985-11-22","186 cm","77 kg","2010",NA,3580,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0
"22",27543,"Wilson Roberto Palacios Suazo","1984-07-29","178 cm","71 kg","2010",NA,2351,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"23",77123,"Kim Jae-Sung","1983-10-03","180 cm","70 kg","2010",NA,1160,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",83414,"Anthony Gildas Kofi Annan","1986-07-21","175 cm","64 kg","2010",NA,6148,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,1
"25",94031,"Quincy Owusu-Abeyie","1986-04-15","187 cm","79 kg","2010",NA,1865,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"26",98981,"Shu-Aib Walters","1981-12-26","189 cm","84 kg","2010-2011",NA,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"27",99033,"Thanduyise Abraham Khuboni","1986-05-22","181 cm","72 kg","2010-2011",NA,3475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",99042,"Surprise Mohlomolleng Moriri","1980-03-20","178 cm","72 kg","2010-2011",NA,1507,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,1
"29",104288,"In-Guk Mun","1978-09-29","169 cm","65 kg","2010",NA,2072,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
"30",104373,"Kwang-Chon Ri","1985-09-04","178 cm","76 kg","2010",NA,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"31",104382,"Yun-Nam Ji","1976-11-20","176 cm","67 kg","2010",NA,1294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",104655,"I. Vorsah","1988-06-21","192 cm","85 kg","2010",NA,3695,0,0,3,0,0,0,0,0,0,0,0,0,0,5,1,0
"33",114855,"D. Etuhu","1982-06-08","188 cm","83 kg","2010",NA,3064,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0
"34",115421,"Stephen Leroy Appiah","1980-12-24","178 cm","77 kg","2010",NA,1769,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
"35",117954,"Lucas Bongane Thwala","1981-10-19","171 cm","75 kg","2010-2011",NA,732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",117973,"Nwankwo Christian Kanu","1976-1-8","197 cm","80 kg","2010-2011",NA,1976,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",118003,"Doctor Siyabonga Sangweni","1981-09-29","182 cm","78 kg","2010-2011",NA,2954,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0
"38",118010,"Ayila Atanda Yussuf","1984-11-04","182 cm","73 kg","2010-2011",NA,3132,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0
"39",118042,"Song-Chol Nam","1982-05-07","171 cm","64 kg","2010",NA,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"40",118043,"Pak Sung-Hyok","1990-05-30","180 cm","73 kg","2010",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",191,"K. Asamoah","1988-12-09","173 cm","75 kg","2010",NA,4828,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
"42",377,"M. Pereira","1984-06-08","173 cm","73 kg","2010",NA,5303,0,0,2,0,0,0,0,0,0,0,0,0,0,19,1,0
"43",1112,"Emilio Arturo Izaguirre Girón","1986-05-10","177 cm","77 kg","2010",NA,3903,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0
"44",27548,"Hendry Bernardo Thomas Suazo","1985-02-23","180 cm","80 kg","2010",NA,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"45",34401,"Lee Dong-Gook","1979-04-29","187 cm","83 kg","2010",NA,949,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
"46",34649,"Oh Beom-Seok","1984-07-29","181 cm","69 kg","2010",NA,1323,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
"47",35516,"J. Torres Nilo","1988-01-16","180 cm","76 kg","2010-2011",NA,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
